,job_title,job_company,job_details,location,experience,salary,min_salary,max_salary,min_experience
0,data analytic,PT Kawan Lama Sejahtera,"['Jakarta', 'IDR\xa010.000.000 - 20.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '10.000.000', '-', '20.000.000']",10000000,20000000,3
1,data engineer,Mapan - PT Ruma (Rekan Usaha Mikro Anda),"['SCBD, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
2,business analyst,AIA Singapore Pte Ltd,"['Batam', '3 – 5 tahun']",Batam,3 – 5 tahun,[],0,0,3
3,e-commerce specialist (remote),Etaily,"['Jakarta', 'Login to view estimated salary by Glints.', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['Login', 'to', 'view', 'estimated', 'salary', 'by', 'Glints.']",0,0,3
4,digital marketing manager (remote),Hepelle,"['Jakarta', 'Login to view estimated salary by Glints.', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['Login', 'to', 'view', 'estimated', 'salary', 'by', 'Glints.']",0,0,3
5,database developer (batam),AIA Singapore Pte Ltd,"['Batam', '3 – 5 tahun']",Batam,3 – 5 tahun,[],0,0,3
6,key account manager (remote),Etaily,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
7,senior product manager,Lion Parcel,"['Kebon Jeruk, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
8,data analyst,Autovice.id,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
9,data analyst,Wifkain,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
10,data analyst,Wall Street English,"['Senayan, Jakarta', 'IDR\xa07.000.000 - 13.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '7.000.000', '-', '13.000.000']",7000000,13000000,1
11,data analyst,PT Stampindo Lancar Jaya,"['Kembangan, Jakarta', 'IDR\xa05.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,1
12,data analyst,PT Pintar Data Group,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
13,data analyst,Pt. Oto Klix Indonesia,"['Kebayoran Lama, Jakarta', 'IDR\xa05.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,1
14,data analyst,Miniletics,"['Surabaya', 'IDR\xa05.000.000 - 7.000.000', '1 – 3 tahun']",Surabaya,1 – 3 tahun,"['IDR', '5.000.000', '-', '7.000.000']",5000000,7000000,1
15,data analyst,Niagahoster,"['Yogyakarta', 'IDR\xa06.000.000 - 7.000.000', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,"['IDR', '6.000.000', '-', '7.000.000']",6000000,7000000,1
16,data analyst,Port Cities,"['Semarang', 'USD\xa01.000', '1 – 3 tahun']",Semarang,1 – 3 tahun,"['USD', '1.000']",0,0,1
17,data analyst,AIA Singapore Pte Ltd,"['Batam', '3 – 5 tahun']",Batam,3 – 5 tahun,[],0,0,3
18,data analyst,Kasual,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
19,data analyst,RateS,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
20,data analyst,Kamoro Maxima Integra,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
21,data analyst,Onstock,"['Jakarta', 'IDR\xa08.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '8.000.000', '-', '10.000.000']",8000000,10000000,1
22,data analyst,Botika,"['Yogyakarta', '']",Yogyakarta,,[],0,0,0
23,data analyst,Pt Boogie Protective,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
24,data analyst,MNC Group,"['Menteng, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
25,data analyst,PT Qwords Company International,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
26,data analyst,Shox Rumahan,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
27,data analyst,Lumina,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
28,data analyst,Codemi,"['Yogyakarta', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,[],0,0,1
29,data analyst,Summit Institute Of Development,"['Mataram', '3 – 5 tahun']",Mataram,3 – 5 tahun,[],0,0,3
30,data analyst,Bina Nusantara Group,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
31,data analyst,ilmuOne Data,"['Jakarta', 'IDR\xa08.000.000 - 15.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '8.000.000', '-', '15.000.000']",8000000,15000000,1
32,data analyst,Maqan Food,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
33,data analyst,Pt Hasnur Jaya Utama (hasnur Group),"['Senopati, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
34,data analyst,Pt SehatQ Harsana Emedika,"['Jakarta', 'IDR\xa012.000.000 - 23.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '12.000.000', '-', '23.000.000']",12000000,23000000,1
35,data analyst,PT Bobobox Mitra Indonesia,"['Bandung', '1 – 3 tahun']",Bandung,1 – 3 tahun,[],0,0,1
36,data analyst,PT Paragon Pratama Teknologi (StickEarn),"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
37,data analyst,Mitramas Infosys Global,"['Jakarta', 'IDR\xa05.000.000 - 7.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '7.000.000']",5000000,7000000,1
38,data analyst,PT Cybertrend Intrabuana,"['Cilandak, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
39,data analyst,ITOMMEY Bintang Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
40,data analyst,PT. Thenblank Kreasi Indonesia,"['Depok', 'Kurang dari setahun']",Depok,Kurang dari setahun,[],0,0,0
41,data analyst,PT Flux Asia Solusindo,"['Senayan', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
42,data analyst,Bareksa Portal Investasi / Bareksa.com,"['Kemang, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
43,data analyst,Bareksa Portal Investasi / Bareksa.com,"['Kemang, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
44,data analyst,Bareksa Portal Investasi / Bareksa.com,"['Kemang, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
45,data analyst,PT Bobobox Mitra Indonesia,"['Bandung', '1 – 3 tahun']",Bandung,1 – 3 tahun,[],0,0,1
46,data analyst,Hypebeast,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
47,data analyst,Agate,"['Bandung', '1 – 3 tahun']",Bandung,1 – 3 tahun,[],0,0,1
48,data analyst,Niagahoster,"['Yogyakarta', 'IDR\xa07.000.000 - 9.000.000', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,"['IDR', '7.000.000', '-', '9.000.000']",7000000,9000000,1
49,data analyst,Campaign.com,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
50,data analyst,Rata Id,"['Jakarta', 'Login to view estimated salary by Glints.', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['Login', 'to', 'view', 'estimated', 'salary', 'by', 'Glints.']",0,0,1
51,data analyst,PT Kita Teknologi Andalan,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
52,data analyst,Danamas (Lancar by Danamas),"['Grogol Petamburan, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
53,data analyst,Thinkmatch,"['Jakarta', 'IDR\xa00 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '0', '-', '10.000.000']",0,10000000,1
54,data analyst,Dezire Technologies Pte Ltd,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
55,data scientist,Delman.io,"['Jakarta', 'IDR\xa06.000.000 - 15.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '6.000.000', '-', '15.000.000']",6000000,15000000,1
56,data analyst,Surplus Indonesia,"['Jakarta', '']",Jakarta,,[],0,0,0
57,data analyst,Glints Indonesia,"['Jakarta', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,[],0,0,0
58,data analyst,Lifepal,"['Kemang, Jakarta', 'IDR\xa010.000.000 - 25.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '10.000.000', '-', '25.000.000']",10000000,25000000,3
59,data analyst,PT. Moladin Digital Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
60,data analyst,PT Sumber Sinergi Makmur,"['Jakarta', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,[],0,0,0
61,data analyst,Dhana Jasa Konsultan,"['Abang', 'IDR\xa013.000.000 - 25.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '13.000.000', '-', '25.000.000']",13000000,25000000,3
62,data analyst,Altech Teknologi Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
63,data analyst,PT Aino Indonesia,"['Jakarta', 'IDR\xa04.000.000 - 6.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '4.000.000', '-', '6.000.000']",4000000,6000000,1
64,data analyst,99.co Indonesia,"['Jakarta', '']",Jakarta,,[],0,0,0
65,data analyst,Tripper Travel,"['Kuningan, Jakarta', 'Login to view estimated salary by Glints.', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['Login', 'to', 'view', 'estimated', 'salary', 'by', 'Glints.']",0,0,1
66,data analyst,Telunjuk.com,"['Kuningan, Jakarta', 'IDR\xa0500.000 - 700.000', '']",Jakarta,,"['IDR', '500.000', '-', '700.000']",500000,700000,0
67,data analyst,Pt Merah Cipta Media,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
68,data analyst,99.co Indonesia,"['Jakarta', '']",Jakarta,,[],0,0,0
69,data analyst,Arcstone,"['Jakarta', 'IDR\xa012.000.000 - 17.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '12.000.000', '-', '17.000.000']",12000000,17000000,1
70,data analyst,Act Foundation,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
71,data analyst,Kitalulus,"['Jakarta', 'IDR\xa02.000.000 - 2.750.000', '']",Jakarta,,"['IDR', '2.000.000', '-', '2.750.000']",2000000,2750000,0
72,data research analyst,Wellive,"['Bandung', '']",Bandung,,[],0,0,0
73,it quality assurance analyst,Pt Surya Madistrindo,"['Jakarta', '']",Jakarta,,[],0,0,0
74,data analyst,Ninja Xpress,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
75,data analyst,Bitlabs,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
76,digital marketing analyst,PT Sribu Digital Kreatif,"['Jakarta', 'IDR\xa06.000.000 - 8.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '6.000.000', '-', '8.000.000']",6000000,8000000,1
77,data analyst,Pt Eigerindo Multi Produk Industri,"['Bandung', '1 – 3 tahun']",Bandung,1 – 3 tahun,[],0,0,1
78,data entry analyst intern,Wifkain,"['Jakarta', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,[],0,0,0
79,data engineer,Sibernetik Integra Data,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
80,data analyst,Isikulkas,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
81,data analyst,Lozy,"['Tasikmalaya', 'IDR\xa02.800.000 - 3.000.000', 'Kurang dari setahun']",Tasikmalaya,Kurang dari setahun,"['IDR', '2.800.000', '-', '3.000.000']",2800000,3000000,0
82,performance marketing analyst,ilmuOne Data,"['Jakarta', 'IDR\xa05.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,1
83,data scientist,ilmuOne Data,"['Jakarta', 'IDR\xa05.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,1
84,data analyst,Segari,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
85,data analyst,Vidio,"['Senayan, Jakarta', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,[],0,0,0
86,data analyst,Nucleusbi,"['Denpasar', '1 – 3 tahun']",Denpasar,1 – 3 tahun,[],0,0,1
87,data analyst,Konner Advisory,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
88,data analyst,RateS,"['Jakarta', '5 – 10 tahun']",Jakarta,5 – 10 tahun,[],0,0,5
89,data analyst,BFI Technologies,"['Jakarta', '']",Jakarta,,[],0,0,0
90,business analyst,Impactfirst,"['Grogol Petamburan, Jakarta', 'IDR\xa05.000.000 - 10.000.000', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,0
91,data scientist,Data Arts Xperience,"['Jakarta', 'IDR\xa05.000.000 - 20.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '20.000.000']",5000000,20000000,1
92,data analyst,Pt Infomedia Solusi Humanika,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
93,data scientist,PT Metranet,"['Jakarta', 'IDR\xa05.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,1
94,data science trainee,PT. Algoritma Data Indonesia,"['Kuningan, Jakarta', 'IDR\xa05.000.000 - 8.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '8.000.000']",5000000,8000000,1
95,data engineer,DANA Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
96,data scientist,PT Stampindo Lancar Jaya,"['Kembangan, Jakarta', 'IDR\xa010.000.000 - 20.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '10.000.000', '-', '20.000.000']",10000000,20000000,3
97,market insight analyst,Lion Parcel,"['Kebon Jeruk, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
98,data engineer,PT Stampindo Lancar Jaya,"['Kembangan, Jakarta', 'IDR\xa010.000.000 - 20.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '10.000.000', '-', '20.000.000']",10000000,20000000,3
99,sourcing analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
100,data engineer,Dompet Kilat,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
101,data analyst,PT. Procon Indo Sekata,"['Jakarta', '']",Jakarta,,[],0,0,0
102,data engineer,Optik Melawai,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
103,data analyst,Celerates,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
104,business intelligence analyst,Bagscity,"['Tangerang', 'IDR\xa05.000.000 - 7.500.000', '1 – 3 tahun']",Tangerang,1 – 3 tahun,"['IDR', '5.000.000', '-', '7.500.000']",5000000,7500000,1
105,data analis,Zeta Bags,"['Kemang, Jakarta', 'IDR\xa05.000.000 - 6.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '6.000.000']",5000000,6000000,1
106,business intelligence analyst (bi analyst),Feedloop,"['Bandung', '3 – 5 tahun']",Bandung,3 – 5 tahun,[],0,0,3
107,data scientist,PT. Mindo Small Business Solutions,"['Yogyakarta', 'IDR\xa02.500.000 - 4.000.000', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,"['IDR', '2.500.000', '-', '4.000.000']",2500000,4000000,1
108,data scientist,PT Cybertrend Intrabuana,"['Cilandak, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
109,data engineer,Pt Surya Madistrindo,"['Jakarta', '']",Jakarta,,[],0,0,0
110,data analytic,Dezire Technologies Pte Ltd,"['Kuningan, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
111,business analyst,PT Bobobox Mitra Indonesia,"['Bandung', '3 – 5 tahun']",Bandung,3 – 5 tahun,[],0,0,3
112,business analyst,Touchten Games,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
113,sales analyst,Ninja Xpress,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
114,data analyst,Pt. Selalu Sukese Prima,"['Tangerang', 'IDR\xa04.500.000 - 5.500.000', '1 – 3 tahun']",Tangerang,1 – 3 tahun,"['IDR', '4.500.000', '-', '5.500.000']",4500000,5500000,1
115,data engineer,MNC Group,"['Menteng, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
116,research analyst,Pt Merah Cipta Media,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
117,merchandising analyst,Bagscity,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
118,data scientist,PT. Pintar Inovasi Digital,"['Jakarta', 'IDR\xa015.000.000 - 25.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '15.000.000', '-', '25.000.000']",15000000,25000000,3
119,data analyst,Delos,"['Sleman', '']",Sleman,,[],0,0,0
120,data entry intern,PT Karoten Asia Pasifik,"['Jakarta', 'IDR\xa0500.000 - 1.500.000', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,"['IDR', '500.000', '-', '1.500.000']",500000,1500000,0
121,data engineer,PT. Cudo Communications,"['Jakarta', 'IDR\xa06.000.000 - 6.500.000', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,"['IDR', '6.000.000', '-', '6.500.000']",6000000,6500000,0
122,operations analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
123,data analysis supervisor,Pt. Mcdelica Food Indonesia,"['Serang', 'IDR\xa06.800.000 - 9.200.000', '3 – 5 tahun']",Serang,3 – 5 tahun,"['IDR', '6.800.000', '-', '9.200.000']",6800000,9200000,3
124,data engineer,Yummy Corp,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
125,business analyst,PT Visionet Data Internasional,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
126,business analyst,Clik,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
127,data engineer,Mnc Portal Indonesia,"['Menteng, Jakarta', 'IDR\xa09.000.000 - 15.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '9.000.000', '-', '15.000.000']",9000000,15000000,1
128,data scientist,Danamas (Lancar by Danamas),"['Jakarta', 'IDR\xa010.000.000 - 20.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '10.000.000', '-', '20.000.000']",10000000,20000000,1
129,data scientist,Lyte Ventures Pte Ltd,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
130,data analytic,JULO,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
132,data engineer,Hypebeast,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
133,data scientist,Kumparan,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
134,head of data,PT. Koltiva,"['Jakarta', '5 – 10 tahun']",Jakarta,5 – 10 tahun,[],0,0,5
135,farm to table data officer,PT. Koltiva,"['Mampang Prapatan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
136,it data center operator,PT Visionet Data Internasional,"['Jakarta', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,[],0,0,0
137,data engineer,PT Transretail Indonesia,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
138,head of data,PT. Koltiva,"['Jakarta', '5 – 10 tahun']",Jakarta,5 – 10 tahun,[],0,0,5
139,business intelligence analyst ,Pt Krakatau Karya Abadi,"['Surabaya', 'IDR\xa05.000.000 - 8.000.000', '1 – 3 tahun']",Surabaya,1 – 3 tahun,"['IDR', '5.000.000', '-', '8.000.000']",5000000,8000000,1
140,system analyst ,JMC IT Consultant,"['Yogyakarta', 'IDR\xa03.000.000 - 4.000.000', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,"['IDR', '3.000.000', '-', '4.000.000']",3000000,4000000,1
141,data engineer,PT. Koltiva,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
142,sales operation analyst,Lifepal,"['Mampang Prapatan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
143,data engineer,Ics Compute,"['Kuningan, Jakarta', 'IDR\xa010.000.000 - 22.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '10.000.000', '-', '22.000.000']",10000000,22000000,1
144,data analyst,PT Bangun Inovasi Teknologi,"['Denpasar', '1 – 3 tahun']",Denpasar,1 – 3 tahun,[],0,0,1
145,data analytic,Pt Simplefi Teknologi Indonesia,"['Kuningan, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
146,data engineer,Pt Eigerindo Multi Produk Industri,"['Bandung', '1 – 3 tahun']",Bandung,1 – 3 tahun,[],0,0,1
147,business analyst,Id/x Partners,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
148,system analyst ,PT. Asian Sigma Technology,"['Tanah Abang, Jakarta', 'IDR\xa08.000.000 - 17.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '8.000.000', '-', '17.000.000']",8000000,17000000,3
149,data validation support part-time (remote),Kulina,"['Yogyakarta', '']",Yogyakarta,,[],0,0,0
150,sales analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
151,data scientist,Bithealth,"['Grogol Petamburan, Jakarta', 'IDR\xa07.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '7.000.000', '-', '10.000.000']",7000000,10000000,1
152,administrasi head office,Pt Bernofarm,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
153,research analyst,Pt. Paramitra Alfa Sekuritas,"['Setiabudi, Jakarta', 'IDR\xa07.000.000 - 15.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '7.000.000', '-', '15.000.000']",7000000,15000000,3
154,business analyst,KB Insurance Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
155,system analyst ,PT Gamatechno Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
156,data scientist,Berrybenka.com,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
157,business intelligence analyst,Mapan - PT Ruma (Rekan Usaha Mikro Anda),"['Blok M, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
158,cfo analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
159,business analyst,Cyberquote Indonesia,"['Surabaya', '3 – 5 tahun']",Surabaya,3 – 5 tahun,[],0,0,3
